url,domain,title,language,category,topic_tags,author,published_date,last_checked,summary,authority_signal,paywall,notes
https://seoradar.cz/blog/geo-seo-optimalizace-pro-ai,seoradar.cz,GEO: Jak optimalizovat web pro AI vyhledávání,cs,industry-blog,geo;cs,SEO Radar,2025,2026-05-08,CZ GEO úvod,practitioner-howto,no,
https://placla.cz/kniha-o-geo-prakticky-navod-na-seo-webu-pro-ai/,placla.cz,Kniha o GEO: praktický návod na SEO webu pro AI,cs,industry-blog,geo;ebook;cs,PlaCla,2025,2026-05-08,Anonce CZ ebooku o GEO,vendor-marketing,no,
https://www.inpage.cz/blog/optimalizace-webu-pro-ai-nova-era-seo-zacina,inpage.cz,Optimalizace webu pro AI: Nová éra SEO začíná,cs,industry-blog,ai-seo;cs,InPage,2025,2026-05-08,CZ agency úvod,practitioner-howto,no,
https://www.marketingppc.cz/marketing/geo-seo/,marketingppc.cz,GEO: Nová éra SEO optimalizace pro vyhledávače,cs,industry-blog,geo;cs,MarketingPPC,2025,2026-05-08,,practitioner-howto,no,
https://www.sonetstudio.cz/geo-vs-seo-proc-tradicni-optimalizace-nestaci/,sonetstudio.cz,GEO vs. SEO – proč tradiční optimalizace nestačí,cs,industry-blog,geo;seo;cs,Sonet Studio,2025,2026-05-08,,practitioner-howto,no,
https://mediatoring.cz/geo/,mediatoring.cz,Optimalizace webu pro AI - GEO LMO AI SEO,cs,industry-blog,geo;ai-seo;cs,Mediatoring,2025,2026-05-08,,vendor-marketing,no,
https://www.seoconsult.cz/blog/nezmeskejte-budoucnost-vyhledavani-propojte-seo-geo,seoconsult.cz,Nezmeškejte budoucnost vyhledávání. Propojte SEO a GEO,cs,industry-blog,seo;geo;cs,SEO Consult,2025,2026-05-08,,practitioner-howto,no,
https://digichef.cz/ai-inside-out-86-ai-overviews-v-cr,digichef.cz,AI Overviews spuštěny v Česku - 10 nejčastějších otázek,cs,industry-blog,ai-overviews;cs,Digichef,2025,2026-05-08,,practitioner-howto,no,
https://www.anycoders.cz/sluzby/optimalizace-pro-ai,anycoders.cz,Optimalizace pro AI modely (AEO GEO),cs,industry-blog,aeo;geo;cs;agency,Anycoders,2025,2026-05-08,Agency service page,vendor-marketing,no,
https://www.seo-telos.cz/blog/seo/80-nova-funkce-v-ceskem-vyhledavani-na-googlu-ai-overview,seo-telos.cz,Nová funkce v českém vyhledávání: AI Overview,cs,industry-blog,ai-overviews;cs,SEO Telos,2025,2026-05-08,,practitioner-howto,no,
