url,domain,title,language,category,topic_tags,author,published_date,last_checked,summary,authority_signal,paywall,notes
https://www.mediaguru.cz/clanky/2025/05/prvni-data-ai-overviews-se-ted-v-cesku-zobrazuji-u-10-dotazu/,mediaguru.cz,První data: AI Overviews v ČR u 10% dotazů,cs,news,ai-overviews;cs;data,MediaGuru,2025-05,2026-05-08,První CZ data,industry-leader,no,
https://www.lupa.cz/autori/robert-nemec/,lupa.cz,Robert Němec autor Lupa.cz,cs,news,robert-nemec;cs;archive,Robert Nemec,2026,2026-05-08,,industry-leader,no,
https://www.lupa.cz/clanky/jak-ai-ve-vyhledavaci-googlu-zmeni-vyhledavani-a-seo/,lupa.cz,Jak AI ve vyhledávači Googlu změní vyhledávání a SEO?,cs,news,ai;seo;google;cs,Lupa.cz,2024,2026-05-08,Klíčový CZ článek,industry-leader,no,
https://www.lupa.cz/clanky/dramaticky-pokles-navstevnosti-a-zadne-klikani-jak-ai-overviews-meni-vyhledavani-a-jak-funguji-v-cesku/,lupa.cz,Dramatický pokles návštěvnosti AI Overviews,cs,news,ai-overviews;cs;data,Lupa.cz,2025,2026-05-08,Klíčové CZ data,industry-leader,no,
https://www.lupa.cz/aktuality/navstevnost-z-vyhledavani-googlu-v-cesku-vyrazne-pada-na-vine-je-nastup-ai-varuje-spir/,lupa.cz,Návštěvnost z Googlu v ČR padá - SPIR varování,cs,news,traffic;ai;cs;spir,Lupa.cz,2025,2026-05-08,SPIR data,industry-leader,no,
https://www.lupa.cz/pr-clanky/ovladnete-nove-seo-a-stante-se-autoritou-kterou-ai-cituje-ve-svych-odpovedich/,lupa.cz,Ovládněte nové SEO autorita AI cituje (PR článek),cs,news,seo;ai;cs,Lupa.cz,2025,2026-05-08,PR článek - vendor placement,vendor-marketing,no,
https://www.lupa.cz/clanky/zakazali-mi-v-e-shopu-agenta-jak-zacinaji-pracovat-ai-boti-kteri-nakoupi-misto-nas/,lupa.cz,AI agenti nakupují místo nás,cs,news,ai-agents;ecommerce;cs,Lupa.cz,2025,2026-05-08,,industry-leader,no,
https://www.lupa.cz/clanky/jak-nedelat-praseo-aneb-6-nejcastejsich-seo-chyb-u-ceskych-e-shopu/,lupa.cz,Jak nedělat PraSEO 6 chyb e-shopů,cs,news,seo;ecommerce;cs,Lupa.cz,2025,2026-05-08,,industry-leader,no,
https://www.lupa.cz/aktuality/openai-utoci-na-google-chatgpt-nove-ma-vlastni-internetovy-vyhledavac/,lupa.cz,OpenAI útočí na Google ChatGPT vlastní vyhledávač,cs,news,chatgpt;openai;vyhledavac;cs,Lupa.cz,2024,2026-05-08,,industry-leader,no,
https://www.lupa.cz/aktuality/google-predstavil-svou-odpoved-na-chatgpt-konverzacni-ai-bard-nasadi-do-vyhledavani/,lupa.cz,Google představil odpověď na ChatGPT - Bard,cs,news,bard;ai;cs,Lupa.cz,2023,2026-05-08,,industry-leader,no,
https://www.lupa.cz/aktuality/chatgpt-zacina-radit-s-nakupy-spousti-vlastni-vyhledavac-zbozi/,lupa.cz,ChatGPT začíná radit s nákupy spouští vyhledávač zboží,cs,news,chatgpt;shopping;cs,Lupa.cz,2025,2026-05-08,,industry-leader,no,
