url,domain,title,language,category,topic_tags,author,published_date,last_checked,summary,authority_signal,paywall,notes
https://github.com/ai-robots-txt/ai.robots.txt/blob/main/robots.txt,github.com,ai-robots-txt/ai.robots.txt repo,en,github,robots-txt;list,ai-robots-txt org,2025,2026-05-08,Community-maintained AI bot blocklist,community-discussion,no,
https://github.com/GEO-optim/GEO,github.com,GEO original code repo,en,github,geo;code,Aggarwal et al.,2024,2026-05-08,Princeton GEO repo,original-research,no,
https://github.com/topics/ai-seo,github.com,ai-seo GitHub Topics,en,github,ai-seo;archive,GitHub,2026,2026-05-08,,community-discussion,no,
https://github.com/balaji1233/llms.txt-and-llms-full.txt-Generator-For-SEO,github.com,llms.txt llms-full.txt Generator For SEO,en,github,llms-txt;generator,Balaji,2025,2026-05-08,,community-discussion,no,
https://github.com/topics/llms-txt,github.com,llms-txt GitHub Topics,en,github,llms-txt;archive,GitHub,2026,2026-05-08,,community-discussion,no,
https://github.com/thedaviddias/llms-txt-hub,github.com,llms-txt-hub directory AI-ready documentation,en,github,llms-txt;hub,David Dias,2025,2026-05-08,Hub,community-discussion,no,
https://github.com/Shubhamsaboo/awesome-llm-apps,github.com,awesome-llm-apps 100+ AI Agent RAG apps,en,github,llm;apps;awesome,Shubham Saboo,2026,2026-05-08,,community-discussion,no,
https://github.com/SecretiveShell/Awesome-llms-txt,github.com,Awesome-llms-txt index seed data,en,github,llms-txt;awesome,SecretiveShell,2025,2026-05-08,,community-discussion,no,
https://github.com/Hannibal046/Awesome-LLM,github.com,Awesome-LLM curated list,en,github,llm;awesome,Hannibal,2026,2026-05-08,,community-discussion,no,
https://github.com/AnswerDotAI/llms-txt,github.com,AnswerDotAI llms-txt original,en,github,llms-txt;original,Jeremy Howard,2024,2026-05-08,Original spec repo,original-research,no,
https://github.com/topics/seo-tools,github.com,seo-tools GitHub Topics,en,github,seo-tools;archive,GitHub,2026,2026-05-08,,community-discussion,no,
https://github.com/firecrawl/llmstxt-generator,github.com,Firecrawl llmstxt-generator,en,github,llms-txt;generator;firecrawl,Firecrawl,2025,2026-05-08,,community-discussion,no,
https://github.com/coree/awesome-rag,github.com,coree awesome-rag list,en,github,rag;awesome,coree,2025,2026-05-08,Hub list,community-discussion,no,
https://github.com/topics/retrieval-augmented-generation,github.com,retrieval-augmented-generation GitHub Topics,en,github,rag;topics;archive,GitHub,2026,2026-05-08,,community-discussion,no,
https://github.com/Danielskry/Awesome-RAG,github.com,Danielskry Awesome-RAG generative AI,en,github,rag;awesome;applications,Daniel Skry,2025,2026-05-08,Hub list,community-discussion,no,
https://github.com/noworneverev/Awesome-RAG,github.com,noworneverev Awesome-RAG curated,en,github,rag;awesome,noworneverev,2025,2026-05-08,Hub list,community-discussion,no,
https://github.com/zhengxuJosh/Awesome-RAG-Vision,github.com,Awesome-RAG-Vision Computer Vision,en,github,rag;vision;awesome,zhengxuJosh,2025,2026-05-08,Specialized hub,community-discussion,no,
https://github.com/Yigtwxx/Awesome-RAG-Production,github.com,Awesome-RAG-Production scalable,en,github,rag;production;awesome,Yigtwxx,2025,2026-05-08,Hub,community-discussion,no,
https://github.com/andreahlert/awesome-rag,github.com,andreahlert awesome-rag frameworks,en,github,rag;awesome,Andrea Hlert,2025,2026-05-08,Hub,community-discussion,no,
https://github.com/jxzhangjhu/Awesome-LLM-RAG,github.com,Awesome-LLM-RAG advanced,en,github,llm;rag;awesome,jxzhangjhu,2025,2026-05-08,Hub,community-discussion,no,
https://github.com/DEEP-PolyU/Awesome-GraphRAG,github.com,Awesome-GraphRAG graph-based,en,github,graph-rag;awesome,DEEP-PolyU,2025,2026-05-08,Hub,community-discussion,no,
https://github.com/brandonhimpfen/awesome-rag,github.com,brandonhimpfen awesome-rag tools frameworks,en,github,rag;awesome,Brandon Himpfen,2025,2026-05-08,,community-discussion,no,
https://github.com/coreyhaines31/marketingskills,github.com,Marketing skills Claude Code AI agents,en,github,marketing;claude-code;agents,Corey Haines,2026,2026-05-08,,community-discussion,no,
