keyword,search_volume,yoy_change,peak_month,cpc_value,cpc_currency,cpc_text,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12
brand mentions,10,-19.0,2026-02-01,13.67,CZK,13.67 Kč,10,30,20,20,10,10,10,10,20,10,10,10
chatgpt,3144000,244.0,2025-09-01,0.4,CZK,0.40 Kč,3952000,3237000,3952000,1768000,3237000,2164000,2164000,2164000,3952000,3952000,3952000,3237000
chatgpt atlas,1800,0.0,2025-10-01,3.1,CZK,3.10 Kč,990,580,470,0,260,0,0,0,0,15000,3600,1300
knowledge graph,130,17.0,2026-05-01,7.11,CZK,7.11 Kč,170,90,170,110,170,140,70,90,140,170,140,110
claude ai,27000,204.0,2026-03-01,5.39,CZK,5.39 Kč,17000,38000,85000,14000,69000,14000,11000,11000,14000,17000,17000,14000
co je ai overview,10,999900.0,2025-09-01,0.0,CZK,0.00 Kč,10,10,10,0,0,10,10,10,20,10,10,10
co je chatgpt,700,109.0,2025-07-01,2.17,CZK,2.17 Kč,750,610,610,400,400,610,920,920,920,750,920,610
co je geo,40,999900.0,2026-02-01,0.0,CZK,0.00 Kč,70,90,90,0,0,0,10,30,30,30,30,50
co je llm,160,169.0,2026-03-01,3.1,CZK,3.10 Kč,200,200,250,90,200,110,140,90,140,160,200,140
eeat,160,233.0,2026-05-01,0.0,CZK,0.00 Kč,160,160,240,60,240,120,160,100,190,190,160,120
aeo,250,35.0,2026-03-01,8.89,CZK,8.89 Kč,300,240,360,240,240,200,240,200,300,240,240,240
share of voice,40,-42.0,2025-04-01,18.26,CZK,18.26 Kč,50,40,50,50,50,50,30,20,30,20,20,50
llm,3900,7.0,2025-10-01,3.12,CZK,3.12 Kč,4100,4100,4100,4100,4100,4100,3400,2700,4100,5000,4100,2700
llmo,30,146.0,2025-04-01,0.0,CZK,0.00 Kč,20,10,20,50,40,50,30,20,20,20,30,10
google gemini,15000,419.0,2026-05-01,4.95,CZK,4.95 Kč,19000,19000,23000,3800,23000,4700,3800,4700,19000,19000,19000,19000
prompt,2400,64.0,2026-05-01,4.56,CZK,4.56 Kč,2800,2800,2800,2300,2800,2300,1500,1500,2300,2800,2800,2300
prompt engineering,500,2.0,2026-06-01,7.07,CZK,7.07 Kč,460,380,460,570,310,690,460,460,460,460,570,690
co je perplexity,170,142.0,2025-10-01,0.0,CZK,0.00 Kč,210,170,210,140,140,140,170,140,170,210,210,210
co je rag,40,1025.0,2026-03-01,0.0,CZK,0.00 Kč,40,70,90,20,10,20,20,30,30,30,50,40
co je seo,1400,12.0,2026-04-01,3.31,CZK,3.31 Kč,1600,1300,1300,1600,1300,1600,1100,1100,1600,1600,1300,1100
ai agent,1300,79.0,2026-05-01,15.63,CZK,15.63 Kč,940,1800,2700,1200,2700,1200,940,820,820,820,820,820
ai asistent,620,45.0,2026-03-01,6.89,CZK,6.89 Kč,680,680,830,560,680,680,450,450,560,680,680,560
ai crawler,10,55.0,2025-07-01,10.96,CZK,10.96 Kč,10,20,20,10,10,10,20,10,20,10,10,20
embedding,180,8.0,2026-02-01,0.0,CZK,0.00 Kč,170,380,200,170,170,170,170,170,170,170,170,140
