url,domain,title,language,category,topic_tags,author,published_date,last_checked,summary,authority_signal,paywall,notes
https://skpodcasty.sk/podcasty/ecommerce-bridge/epizoda/ako-sa-pripravit-na-buducnost-seo-a-hlasoveho-ai-vyhladavania-matus-lovas-visibility/,skpodcasty.sk,Ako sa pripraviť na budúcnosť SEO a hlasového AI vyhľadávania (Matúš Lovás),sk,podcast,seo;voice;sk;podcast,Ecommerce Bridge / Lovas,2025,2026-05-08,Visibility CEO podcast,industry-leader,no,
https://ceskypodcasting.cz/podcast/detail/ecommerce-bridge/36,ceskypodcasting.cz,Ecommerce Bridge podcast detail,cs,podcast,podcast;ecommerce;cs,Ecommerce Bridge,2026,2026-05-08,,industry-leader,no,
https://podcasts.apple.com/cz/podcast/ecommerce-bridge/id1440529490,podcasts.apple.com,Ecommerce Bridge Apple Podcasts CZ,cs,podcast,podcast;ecommerce;cs,Ecommerce Bridge,2026,2026-05-08,,industry-leader,no,
https://www.ecommercebridge.cz/ecommerce-bridge-update-18-2026/,ecommercebridge.cz,Ecommerce Bridge UPDATE 18/2026,cs,podcast,podcast;ecommerce;cs,Ecommerce Bridge,2026,2026-05-08,,industry-leader,no,
https://www.ecommercebridge.cz/ecommerce-bridge-update-15-2026/,ecommercebridge.cz,Ecommerce Bridge UPDATE 15/2026,cs,podcast,podcast;ecommerce;cs,Ecommerce Bridge,2026,2026-05-08,,industry-leader,no,
https://www.ecommercebridge.cz/ecommerce-bridge-update-9-2026/,ecommercebridge.cz,Ecommerce Bridge UPDATE 9/2026,cs,podcast,podcast;ecommerce;cs,Ecommerce Bridge,2026,2026-05-08,,industry-leader,no,
https://www.ecommercebridge.cz/ecommerce-bridge-update-7-2026/,ecommercebridge.cz,Ecommerce Bridge UPDATE 7/2026,cs,podcast,podcast;ecommerce;cs,Ecommerce Bridge,2026,2026-05-08,,industry-leader,no,
https://www.ecommercebridge.cz/ecommerce-bridge-update-17-2026/,ecommercebridge.cz,Ecommerce Bridge UPDATE 17/2026,cs,podcast,podcast;ecommerce;cs,Ecommerce Bridge,2026,2026-05-08,,industry-leader,no,
https://www.marketingminer.com/cs/blog/souhrn-seo-restart-2025,marketingminer.com,Souhrn SEO Restart 2025 v éře AI,cs,tool-vendor,seo-restart;cs;recap,Marketing Miner,2025,2026-05-08,,industry-leader,no,
https://asociace.ai/akce/seo-restart-2025/,asociace.ai,Konference SEO Restart 2025 Asociace AI,cs,industry-blog,seo-restart;cs;conference,Asociace AI,2025,2026-05-08,,industry-leader,no,
https://www.jirkont.cz/seo-restart-2025/,jirkont.cz,SEO Restart 2025 podrobný report,cs,industry-blog,seo-restart;cs;report,JIRKONT,2025,2026-05-08,,practitioner-howto,no,
https://www.scuka.cz/seo-restart-2025-seo-je-vecne-reportaz-z-konference/,scuka.cz,SEO Restart 2025 SEO je věčné Reportáž,cs,industry-blog,seo-restart;cs;reportage,scuka,2025,2026-05-08,,practitioner-howto,no,
https://digichef.cz/seo-restart-2025,digichef.cz,SEO Restart 2025 SEO není Jednou pro vždy,cs,industry-blog,seo-restart;cs,Digichef,2025,2026-05-08,,practitioner-howto,no,
https://www.marketingminer.com/cs/blog/zveme-vas-na-seo-restart-2025,marketingminer.com,SEO Restart 2025 Marketing Miner zveme,cs,industry-blog,seo-restart;cs;mm,Marketing Miner,2025,2026-05-08,,industry-leader,no,
https://www.mediaguru.cz/akce/seo-restart-se-zameri-na-ai-prehledy-a-dopad-na-search/,mediaguru.cz,SEO Restart AI přehledy dopad na search,cs,industry-blog,seo-restart;cs;ai,MediaGuru,2025,2026-05-08,,industry-leader,no,
https://www.whitepress.com/cz/blog/2123/seo-konference-v-cesku-a-v-zahranici,whitepress.com,SEO konference v Česku a zahraničí 2025,cs,industry-blog,conferences;cs;sk;hub,WhitePress,2025,2026-05-08,Hub list,industry-leader,no,
https://www.mediaguru.cz/clanky/2025/01/prehled-oborovych-konferenci-a-soutezi-v-roce-2025/,mediaguru.cz,Přehled oborových konferencí a soutěží 2025,cs,industry-blog,conferences;cs;hub,MediaGuru,2025-01,2026-05-08,Hub,industry-leader,no,
https://www.seorestart.cz/,seorestart.cz,SEO Restart 2026,cs,industry-blog,seo-restart;cs;conference,SEO Restart,2026,2026-05-08,Conference home,industry-leader,no,
https://podcast.digichef.cz/e/%F0%9F%8E-naloz-seo-novinek-unor25,podcast.digichef.cz,Digichef Podcast Nálož SEO novinek únor25,cs,podcast,digichef;cs;seo,Digichef,2025-02,2026-05-08,,industry-leader,no,
https://podcast.digichef.cz/e/%F0%9F%8E-naloz-seo-novinek-listopad24-digichef-podcast,podcast.digichef.cz,Digichef Podcast SEO novinek listopad24,cs,podcast,digichef;cs;seo,Digichef,2024-11,2026-05-08,,industry-leader,no,
https://podcasty.seznam.cz/podcast/digichef-podcast/naloz-seo-novinek-unor25-digichef-podcast-437144,podcasty.seznam.cz,Digichef Podcast Seznam Podcasty,cs,podcast,digichef;cs;seznam,Digichef,2025,2026-05-08,,industry-leader,no,
https://digichef.podbean.com/,digichef.podbean.com,Digichef Podcast Podbean,cs,podcast,digichef;cs;podcast,Digichef,2026,2026-05-08,Hub,industry-leader,no,
https://www.mytimi.cz/seo-restart-2025/,mytimi.cz,Reportáž SEO Restart 2025 myTimi,cs,industry-blog,seo-restart;cs;reportage,myTimi,2025,2026-05-08,,practitioner-howto,no,
https://www.najdiseonline.cz/seo-restart-2025-v-hlavni-roli-ai,najdiseonline.cz,SEO Restart 2025 v hlavní roli AI,cs,industry-blog,seo-restart;cs;ai,NajdiSeOnline,2025,2026-05-08,,industry-leader,no,
https://www.maxiorel.cz/seo-restart-2025-seo-zase-umrelo-akorat-ze-vubec,maxiorel.cz,SEO Restart 2025 SEO zase umřelo akorát že vůbec,cs,individual,seo-restart;cs,Maxiorel,2025,2026-05-08,,practitioner-howto,no,
https://www.reknisioweb.cz/p/konference-2025,reknisioweb.cz,Konference o webu 2025 Martin Kopta,cs,industry-blog,conferences;cs;hub,Martin Kopta,2025,2026-05-08,Hub list,industry-leader,no,
https://www.whitepress.com/cz/blog/2094/prehled-e-commerce-a-marketingovych-konferenci-cz-sk,whitepress.com,Přehled e-commerce marketingových konferencí 2026 CZ SK,cs,industry-blog,conferences;cs;sk;hub,WhitePress,2026,2026-05-08,Hub list,industry-leader,no,
https://www.seoprakticky.cz/blog/konference-a-workshopy/,seoprakticky.cz,Konference a workshopy SEOPRAKTICKY,cs,industry-blog,conferences;cs;hub,SEOPrakticky,2026,2026-05-08,Hub,industry-leader,no,
https://blog.shoptet.cz/marketingove-konference-na-kterych-nesmite-chybet-archiv/,blog.shoptet.cz,Marketingové konference Shoptet archiv,cs,industry-blog,conferences;cs;hub,Shoptet,2025,2026-05-08,Hub,industry-leader,no,
https://www.evisions.cz/vas-pruvodce-marketingovymi-a-seo-konferencemi-ve-stredni-a-vychodni-evrope-a-dach-pro-rok-2024/,evisions.cz,Průvodce marketingové SEO konference střední Evropa DACH 2024,cs,industry-blog,conferences;cs;sk;dach,eVisions,2024,2026-05-08,Hub,industry-leader,no,
https://www.reknisioweb.cz/p/konference-2026,reknisioweb.cz,Konference o webu 2026 Martin Kopta,cs,industry-blog,conferences;cs;2026,Martin Kopta,2026,2026-05-08,Hub,industry-leader,no,
https://c-e-a.cz/konference-its-a-match-16-dubna-2026-brno/,c-e-a.cz,Konference It's a MATCH dubna 2026 Brno,cs,industry-blog,conference;brno;cs,ČEA,2026-04,2026-05-08,,industry-leader,no,
https://www.mediaguru.cz/prehled-oborovych-konferenci-a-soutezi-v-roce-2026,mediaguru.cz,Přehled oborových konferencí 2026 MediaGuru,cs,industry-blog,conferences;cs;2026,MediaGuru,2026,2026-05-08,Hub,industry-leader,no,
https://konfery.cz/,konfery.cz,Konfery.cz přehled konferencí,cs,industry-blog,conferences;cs;hub,Konfery,2026,2026-05-08,Hub,industry-leader,no,
