url,domain,title,language,category,topic_tags,author,published_date,last_checked,summary,authority_signal,paywall,notes
https://developers.google.com/search/blog/2025/12/scl-eoy,developers.google.com,Search Central Live APAC 2025 Recap,en,platform-doc,google;conference,Google,2025-12,2026-05-08,,original-research,no,
https://ipullrank.com/seo-week-2025-lily-ray,ipullrank.com,The Vicious Cycle of SEO - Lily Ray SEO Week 2025,en,industry-blog,lily-ray;seo-week,Lily Ray,2025,2026-05-08,,industry-leader,no,
https://foundconf.com/session-mike-king/,foundconf.com,The AI Search Playbook by Mike King (FOUND),en,industry-blog,mike-king;conference,FOUND Conf,2025,2026-05-08,,industry-leader,no,
https://brightonseo.com/,brightonseo.com,brightonSEO conference,en,industry-blog,brightonseo;conference,brightonSEO,2026,2026-05-08,Hub,industry-leader,no,
https://brightonseo.com/events/october-2025/talks/the-ai-search-playbook,brightonseo.com,The AI Search Playbook (BrightonSEO Oct 2025),en,industry-blog,brightonseo;mike-king;ai-search,Mike King,2025-10,2026-05-08,,industry-leader,no,
https://hub.seofomo.co/surveys/best-brightonseo-presentation-decks/,hub.seofomo.co,Best of Published Decks BrightonSEO UK April 2026,en,industry-blog,brightonseo;decks;archive,SEOFomo,2026-04,2026-05-08,,industry-leader,no,
https://brightonseo.com/events/april-2025/talks/generative-ai-and-geo-the-new-seo-race-and-how-to-win,brightonseo.com,Generative AI & GEO new SEO race (BrightonSEO Apr 2025),en,industry-blog,brightonseo;geo;ai,brightonSEO,2025-04,2026-05-08,,industry-leader,no,
https://www.reflectdigital.co.uk/events/brightonseo-forget-seo-vs-ai,reflectdigital.co.uk,BrightonSEO Forget SEO vs AI Build Brand,en,industry-blog,brightonseo;brand,Reflect Digital,2025,2026-05-08,,practitioner-howto,no,
https://www.demandsphere.com/blog/brightonseo-san-diego-slides-2/,demandsphere.com,BrightonSEO San Diego 2025 AI Search Reality Check,en,industry-blog,brightonseo;sandiego,DemandSphere,2025,2026-05-08,,practitioner-howto,no,
https://brightonseo.com/events/san-diego-2025,brightonseo.com,brightonSEO San Diego 2025,en,industry-blog,brightonseo;sandiego,brightonSEO,2025,2026-05-08,,industry-leader,no,
https://brightonseo.com/events/october-2025,brightonseo.com,brightonSEO UK October 2025,en,industry-blog,brightonseo;uk,brightonSEO,2025-10,2026-05-08,,industry-leader,no,
https://brightonseo.com/events,brightonseo.com,Past brightonSEO events,en,industry-blog,brightonseo;archive,brightonSEO,2026,2026-05-08,,industry-leader,no,
