url,domain,title,language,category,topic_tags,author,published_date,last_checked,summary,authority_signal,paywall,notes
https://ahrefs.com/blog/agentic-ai-vs-generative-ai/,ahrefs.com,Agentic AI vs Generative AI: Difference,en,industry-blog,agentic-ai;generative-ai,Ahrefs,2025,2026-05-08,,industry-leader,no,
https://tollbit.com/,tollbit.com,TollBit homepage,en,tool-vendor,tollbit;agentic,TollBit,2026,2026-05-08,Hub vendor,vendor-marketing,no,
https://chatgpt.com/atlas/,chatgpt.com,ChatGPT Atlas,en,platform-doc,atlas;openai;browser,OpenAI,2025,2026-05-08,Product page,original-research,no,
https://openai.com/index/introducing-chatgpt-atlas/,openai.com,Introducing ChatGPT Atlas,en,platform-doc,atlas;launch,OpenAI,2025-10,2026-05-08,Oficiální launch,original-research,no,
https://en.wikipedia.org/wiki/ChatGPT_Atlas,en.wikipedia.org,ChatGPT Atlas Wikipedia,en,reference,atlas;wikipedia,Wikipedia,2026,2026-05-08,,reference,no,
https://atlasbrowserai.com/,atlasbrowserai.com,Atlas Browser AI Agent Browser,en,platform-doc,atlas;browser,Atlas Browser AI,2025,2026-05-08,Pozor: zřejmě 3rd party,vendor-marketing,no,
https://www.humansecurity.com/ai-agent/chatgpt-atlas/,humansecurity.com,What is ChatGPT Atlas and why on my website?,en,industry-blog,atlas;security,Human Security,2025,2026-05-08,,practitioner-howto,no,
https://susodigital.com/thoughts/what-agentic-browsers-mean-for-seo/,susodigital.com,How Agentic Browsers Change SEO,en,industry-blog,agentic;browsers;seo,SUSO Digital,2025,2026-05-08,,practitioner-howto,no,
https://intuitionlabs.ai/articles/chatgpt-atlas-openai-browser,intuitionlabs.ai,ChatGPT Atlas In-Depth Look,en,industry-blog,atlas;analysis,Intuition Labs,2025,2026-05-08,,practitioner-howto,no,
https://weareqed.com/atlas-browser/,weareqed.com,Atlas Browser OpenAI New Web Browser,en,industry-blog,atlas;browser,QED,2025,2026-05-08,,practitioner-howto,no,
https://www.npr.org/2025/11/07/nx-s1-5597010/openai-atlas-browser-chatgpt-data-privacy,npr.org,OpenAI Atlas Browser Privacy Concerns,en,news,atlas;privacy,NPR,2025-11,2026-05-08,,industry-leader,no,
https://www.writearm.co.uk/news/agentic-browsing-how-chatgpt-atlas-detonates-the-search-marketing-playbook/,writearm.co.uk,Agentic Browsing ChatGPT Atlas Search Marketing,en,industry-blog,atlas;agentic;search,WriteArm,2025,2026-05-08,,practitioner-howto,no,
https://www.lupa.cz/aktuality/openai-uvedla-prohlizec-chatgpt-atlas-s-integrovanymi-ai-funkcemi-a-pameti/,lupa.cz,OpenAI uvedla prohlížeč ChatGPT Atlas,cs,news,atlas;chatgpt;cs,Lupa.cz,2025-10,2026-05-08,,industry-leader,no,
https://www.perplexity.ai/comet,perplexity.ai,Comet Browser by Perplexity,en,platform-doc,comet;perplexity;browser,Perplexity,2025,2026-05-08,Product page,original-research,no,
https://play.google.com/store/apps/details?id=ai.perplexity.comet,play.google.com,Comet AI Browser Google Play,en,platform-doc,comet;android,Perplexity,2025,2026-05-08,,original-research,no,
https://www.ibm.com/think/news/comet-perplexity-take-agentic-browser,ibm.com,Comet: Perplexity AI browser gets personal,en,news,comet;perplexity;agentic,IBM,2025,2026-05-08,,industry-leader,no,
https://www.perplexity.ai/hub/blog/introducing-comet,perplexity.ai,Introducing Comet: Browse at speed of thought,en,platform-doc,comet;launch,Perplexity,2025,2026-05-08,Oficiální launch,original-research,no,
https://www.envive.ai/post/how-perplexity-comet-will-change-agentic-commerce,envive.ai,How Perplexity Comet Will Change Agentic Commerce,en,industry-blog,comet;commerce,Envive,2025,2026-05-08,,practitioner-howto,no,
https://www.perplexity.ai/hub/blog/the-new-comet-assistant,perplexity.ai,The New Comet Assistant,en,platform-doc,comet;assistant,Perplexity,2025,2026-05-08,,original-research,no,
https://www.perplexity.ai/hub/blog/comet-for-android-is-here,perplexity.ai,Comet for Android,en,platform-doc,comet;android,Perplexity,2025,2026-05-08,,original-research,no,
https://www.perplexity.ai/hub/blog/comet-is-now-available-to-everyone-worldwide,perplexity.ai,The Internet is Better on Comet (worldwide),en,platform-doc,comet;launch,Perplexity,2025,2026-05-08,,original-research,no,
https://apps.apple.com/us/app/comet-ai-browser-assistant/id6748622471,apps.apple.com,Comet AI Browser App Store,en,platform-doc,comet;ios,Perplexity,2025,2026-05-08,,original-research,no,
https://opascope.com/insights/ai-shopping-assistant-guide-2026-agentic-commerce-protocols/,opascope.com,AI Shopping Assistant Guide 2026 Agentic Commerce,en,industry-blog,shopping;ecommerce;agentic,Opascope,2026,2026-05-08,,practitioner-howto,no,
https://arxiv.org/html/2510.24476v1,arxiv.org,Mitigating Hallucination in LLMs RAG Reasoning Agentic,en,academic,hallucination;rag;agentic,,2025-10,2026-05-08,,original-research,no,
https://cuttlesoft.com/blog/2025/11/25/anthropics-model-context-protocol-the-standard-for-ai-tool-integration/,cuttlesoft.com,MCP Anthropic Standard AI Tool Integration,en,industry-blog,mcp;anthropic,Cuttlesoft,2025-11-25,2026-05-08,,practitioner-howto,no,
https://en.wikipedia.org/wiki/Model_Context_Protocol,en.wikipedia.org,Model Context Protocol Wikipedia,en,reference,mcp;wikipedia,Wikipedia,2026,2026-05-08,,reference,no,
https://modelcontextprotocol.io/,modelcontextprotocol.io,Model Context Protocol official,en,platform-doc,mcp;standard,Anthropic,2024-11,2026-05-08,Oficiální spec,original-research,no,
https://www.pulsemcp.com/posts/openai-agent-skills-anthropic-donates-mcp-gpt-5-2-image-1-5,pulsemcp.com,OpenAI Agent Skills Anthropic donates MCP,en,industry-blog,mcp;openai;agents,PulseMCP,2026,2026-05-08,,industry-leader,no,
