url,domain,title,language,category,topic_tags,author,published_date,last_checked,summary,authority_signal,paywall,notes
https://www.bronislavmarketing.cz/geo-a-aio-aneb-jak-se-pripravit-na-marketing-v-ere-ai-vyhledavani/,bronislavmarketing.cz,GEO a AIO aneb jak se připravit na marketing v éře AI vyhledávání,cs,individual,geo;aio;cs,Bronislav Markowicz,2025,2026-05-08,Konzultantský blog,practitioner-howto,no,
https://www.pavelungr.cz/ai-overviews-jsou-v-cesku-i-na-slovensku-co-to-meni-pro-seo-strategii/,pavelungr.cz,AI Overviews v Česku i na Slovensku,cs,individual,ai-overviews;cs;sk,Pavel Ungr,2025,2026-05-08,Top CZ SEO konzultant,industry-leader,no,
https://www.scuka.cz/aio-artifical-inteligence-overview/,scuka.cz,AIO - Artificial Intelligence Overview,cs,individual,ai-overviews;cs,scuka.cz,2025,2026-05-08,,practitioner-howto,no,
https://www.strafelda.cz/ai-overviews,strafelda.cz,Co jsou AI Overviews na Google?,cs,individual,ai-overviews;cs,Strafelda,2025,2026-05-08,,practitioner-howto,no,
https://www.pavelungr.cz/seo-pro-ai-geo-aio-neni-nove-seo/,pavelungr.cz,SEO pro AI GEO AIO není nové SEO,cs,individual,seo;geo;aio;cs,Pavel Ungr,2025,2026-05-08,,industry-leader,no,
https://www.pavelungr.cz/sluzby/ai-seo-audit/,pavelungr.cz,AI SEO audit služba,cs,individual,ai-seo;audit;cs,Pavel Ungr,2025,2026-05-08,Servisní stránka,industry-leader,no,
https://www.pavelungr.cz/blog/,pavelungr.cz,Pavel Ungr blog hub,cs,individual,blog;cs,Pavel Ungr,2026,2026-05-08,Hub blog,industry-leader,no,
https://www.pavelungr.cz/skoleni/jak-optimalizovat-ai-overviews-ai-prehledy-seo/,pavelungr.cz,Webinář: Jak optimalizovat pro AI Overviews,cs,individual,ai-overviews;skoleni;cs,Pavel Ungr,2025,2026-05-08,,industry-leader,no,
https://mareklecian.cz/en/the-impact-of-google-ai-overview-on-the-internets-digital-ecosystem/,mareklecian.cz,Impact of Google AI Overview on Internet ecosystem,cs,individual,ai-overviews;ecosystem;cs,Marek Lecián,2025,2026-05-08,,practitioner-howto,no,
https://danielberanek.cz/seznam-asistent-unikat-s-dalsim-eponymnim-jmenem/,danielberanek.cz,Seznam Asistent unikát eponymní jméno,cs,individual,seznam;asistent;cs,Daniel Beránek,2024,2026-05-08,,practitioner-howto,no,
https://www.maxiorel.cz/seo-restart-2025-seo-zase-umrelo-akorat-ze-vubec,maxiorel.cz,SEO Restart 2025 SEO zase umřelo akorát že vůbec,cs,individual,seo-restart;cs,Maxiorel,2025,2026-05-08,,practitioner-howto,no,
https://www.pavelungr.cz/novy-ai-vyhledavac-search-chat-gpt/,pavelungr.cz,Nový AI vyhledávač GPTSearch od ChatGPT,cs,individual,chatgpt;searchgpt;cs,Pavel Ungr,2024,2026-05-08,,industry-leader,no,
https://www.pavelungr.cz/ai-mode-se-vali-do-ceska/,pavelungr.cz,AI mode se valí do Česka,cs,individual,ai-mode;cs,Pavel Ungr,2025,2026-05-08,,industry-leader,no,
https://www.pavelungr.cz/skoleni/workshop-seo-ai-chatgpt-skoleni/,pavelungr.cz,Workshop AI SEO Overviews AI Mode ChatGPT,cs,individual,workshop;ai-seo;cs,Pavel Ungr,2025,2026-05-08,,industry-leader,no,
https://www.pavelungr.cz/skoleni/,pavelungr.cz,Pavel Ungr Školení hub,cs,individual,skoleni;cs,Pavel Ungr,2026,2026-05-08,Hub,industry-leader,no,
https://www.pavelungr.cz/skoleni/webinar-jak-optimalizovat-pro-ai-mode/,pavelungr.cz,Webinář Jak optimalizovat pro AI mód,cs,individual,ai-mode;skoleni;cs,Pavel Ungr,2025,2026-05-08,,industry-leader,no,
https://www.pavelungr.cz/,pavelungr.cz,Pavel Ungr SEO konzultant homepage,cs,individual,seo;konzultant;cs,Pavel Ungr,2026,2026-05-08,Hub,industry-leader,no,
https://www.danielfiser.cz/blog/co-je-to-aio-geo-a-aeo-aneb-jak-optimalizovat-web-pro-viditelnost-v-ai-modelech/,danielfiser.cz,Co je to AIO GEO a AEO Daniel Fišer,cs,individual,aio;geo;aeo;cs,Daniel Fišer,2025,2026-05-08,,practitioner-howto,no,
https://www.majksiro.com/seo-a-ai-optimalizace,majksiro.com,SEO & GEO AI optimalizace e-shopu,cs,individual,seo;geo;ecommerce;cs,MajkSiro,2025,2026-05-08,,practitioner-howto,no,
