url,domain,title,language,category,topic_tags,author,published_date,last_checked,summary,authority_signal,paywall,notes
https://arxiv.org/abs/2311.09735,arxiv.org,GEO: Generative Engine Optimization,en,academic,geo;original-research;benchmark,Pranjal Aggarwal et al.,2023-11-16,2026-05-08,"Princeton/IIT Delhi paper definující GEO; GEO-bench benchmark; 40% visibility lift",original-research,no,KDD 2024 publikace
https://arxiv.org/html/2604.25707,arxiv.org,From Citation Selection to Citation Absorption,en,academic,geo;measurement;citation,,2026,2026-05-08,Two-stage measurement framework pro GEO,original-research,no,
https://www.hubspot.com/aeo-grader/share-of-voice,hubspot.com,AI Share of Voice Tool,en,tool-vendor,share-of-voice;aeo,HubSpot,2026,2026-05-08,,vendor-marketing,no,
https://avenuez.com/blog/ai-share-of-voice-track-brand-mentions-chatgpt/,avenuez.com,AI Share of Voice: Track Brand Mentions on ChatGPT,en,industry-blog,share-of-voice;chatgpt,Avenuez,2025,2026-05-08,,practitioner-howto,no,
https://www.get-spotlight.com/articles/how-to-measure-and-improve-your-brands-share-of-voice-in-ai-chatbot-conversations/,get-spotlight.com,Brand Share of Voice in AI Chatbot Conversations,en,tool-vendor,share-of-voice,Spotlight,2025,2026-05-08,,vendor-marketing,no,
https://trakkr.ai/article/measure-share-of-voice-in-ai-overviews,trakkr.ai,AI Share of Voice: Brand Visibility in AI Overviews,en,tool-vendor,share-of-voice;ai-overviews,Trakkr,2025,2026-05-08,,vendor-marketing,no,
https://www.get-spotlight.com/articles/how-to-measure-and-improve-brand-share-of-voice-in-ai-chatbots-and-llms-a-step-by-step-guide/,get-spotlight.com,How to Measure SoV in AI Chatbots and LLMs Step-by-Step,en,tool-vendor,share-of-voice,Spotlight,2025,2026-05-08,,vendor-marketing,no,
https://otterly.ai/blog/share-of-voice-ai/,otterly.ai,How to Measure Brand Share of Voice on Content AI,en,tool-vendor,share-of-voice,Otterly,2025,2026-05-08,Vendor blog Otterly,vendor-marketing,no,
https://siftly.ai/blog/measure-brand-share-voice-chatgpt-google-ai-overviews-2026,siftly.ai,Measure Brand SoV in ChatGPT and Google AIO 2026,en,tool-vendor,share-of-voice,Siftly,2026,2026-05-08,,vendor-marketing,no,
https://llmpulse.ai/blog/glossary/share-of-voice/,llmpulse.ai,Share-of-Voice: glossary entry,en,tool-vendor,share-of-voice;glossary,LLM Pulse,2026,2026-05-08,,vendor-marketing,no,
https://waikay.io/ai-brand-visibility-guide/share-of-voice/,waikay.io,What Is AI Share of Voice? (And Why Most Tools Get It Wrong),en,tool-vendor,share-of-voice,Waikay,2026,2026-05-08,,vendor-marketing,no,
https://arxiv.org/abs/2509.05607,arxiv.org,Beyond Keywords: Driving GEO with Content-Centric Agents,en,academic,geo;benchmark;cc-gseo,,2025-09,2026-05-08,CC-GSEO-Bench 1000+ articles,original-research,no,
https://arxiv.org/html/2509.05607v1,arxiv.org,Beyond Keywords CC-GSEO-Bench HTML,en,academic,geo;benchmark,,2025-09,2026-05-08,,original-research,no,
https://arxiv.org/abs/2309.15217,arxiv.org,Ragas: Automated Evaluation of RAG,en,academic,rag;evaluation;metrics,,2023-09,2026-05-08,Klíčová RAG eval framework,original-research,no,
https://www.scalenut.com/blogs/brightedge-vs-searchmetrics,scalenut.com,BrightEdge vs Searchmetrics 2024,en,industry-blog,brightedge;searchmetrics,Scalenut,2024,2026-05-08,,practitioner-howto,no,
https://www.scalenut.com/blogs/conductor-vs-searchmetrics,scalenut.com,Conductor vs Searchmetrics,en,industry-blog,conductor;searchmetrics,Scalenut,2025,2026-05-08,,practitioner-howto,no,
https://ipullrank.com/ai-search-manual/measurement-templates,ipullrank.com,Measurement Frameworks Templates GEO Reporting,en,industry-blog,manual;measurement;ipullrank,Mike King,2025,2026-05-08,Manual chapter,industry-leader,no,
https://pi-datametrics.com/webinars/brightonseo-beyond-ai-how-to-own-the-serp-in-2025-with-fast-content/,pi-datametrics.com,BrightonSEO Beyond AI Own SERP FAST Content,en,industry-blog,brightonseo;webinar;data-metrics,Pi Datametrics,2025,2026-05-08,,industry-leader,no,
https://arxiv.org/abs/2605.02520,arxiv.org,Benchmarking Retrieval Strategies Biomedical RAG,en,academic,rag;biomedical;benchmark,,2026-05,2026-05-08,,original-research,no,
https://www.tripledart.com/guides/b2b-saas-inbound-marketing-report,tripledart.com,B2B SaaS Marketing Benchmarks 2026 Paid SEO AI,en,industry-blog,b2b-saas;benchmarks,TripleDart,2026,2026-05-08,,industry-leader,no,
https://www.businesswire.com/news/home/20251113364791/en/Conductor-Unveils-2026-AEO-GEO-Benchmarks-Report-How-AI-Shapes-Brand-Visibility-in-a-Zero-Click-World,businesswire.com,Conductor 2026 AEO GEO Benchmarks Report,en,news,conductor;benchmarks;data,Business Wire,2025-11-13,2026-05-08,Klíčový benchmarks,industry-leader,no,
https://www.ranketai.com/en/blog/deep-dive-conductor-aeo-geo-benchmark-2026-04-08,ranketai.com,Dissecting Conductor 2026 Benchmarks 1.08% AI Citation Rate,en,industry-blog,conductor;benchmarks;analysis,Ranketai,2026-04-08,2026-05-08,,practitioner-howto,no,
https://cracklepr.com/insights/geo-for-tech-brands-2026-benchmark,cracklepr.com,GEO for Tech Brands 2026 Benchmark Crackle PR,en,industry-blog,geo;tech;benchmark,Crackle PR,2026,2026-05-08,,industry-leader,no,
https://www.symphonicdigital.com/blog/understanding-share-of-model,symphonicdigital.com,Share of Model Essential Marketing Metric AI Era,en,industry-blog,share-of-model;metric,Symphonic Digital,2026,2026-05-08,,industry-leader,no,
https://www.trilltrido.com/share-of-model-som-the-new-essential-kpi-for-2026-digital-marketing/,trilltrido.com,Share of Model SoM New Essential KPI 2026,en,industry-blog,share-of-model;kpi,Trill Trido,2026,2026-05-08,,practitioner-howto,no,
https://targetlytics.com/en/blogs/understanding-share-of-model-the-new-metric-for-brand-visibility,targetlytics.com,Understanding Share of Model New Metric Brand Visibility,en,industry-blog,share-of-model;visibility,Targetlytics,2026,2026-05-08,,practitioner-howto,no,
https://everything-pr.com/what-is-share-of-model-the-new-metric-replacing-share-of-voice/,everything-pr.com,Share of Model New Metric Replacing Share of Voice,en,industry-blog,share-of-model;sov,Everything PR,2026,2026-05-08,,industry-leader,no,
https://searchengineland.com/geo-metrics-to-track-476642,searchengineland.com,8 GEO metrics to track 2026,en,news,geo;metrics,SEL,2026,2026-05-08,,industry-leader,no,
https://hallam.agency/blog/share-of-model-a-key-metric-for-ai-powered-search/,hallam.agency,Share of Model key metric AI-powered search Hallam,en,industry-blog,share-of-model;hallam,Hallam,2026,2026-05-08,,practitioner-howto,no,
https://arxiv.org/html/2509.07253v1,arxiv.org,Benchmarking Information Retrieval Models Complex Tasks,en,academic,ir;benchmarking,,2025-09,2026-05-08,,original-research,no,
https://www.conductor.com/academy/aeo-geo-benchmarks-report/,conductor.com,2026 AEO/GEO Benchmarks Report Conductor,en,tool-vendor,conductor;benchmarks;data,Conductor,2026,2026-05-08,Klíčový report,industry-leader,no,
https://skyseodigital.com/the-aeo-geo-benchmarks-report-by-conductor/,skyseodigital.com,AEO GEO Benchmarks Report Conductor Sky SEO,en,industry-blog,conductor;benchmarks,Sky SEO Digital,2026,2026-05-08,,practitioner-howto,no,
https://www.conductor.com/academy/industrials-aeo-geo-benchmarks/,conductor.com,Industrials Industry 2026 AEO GEO Benchmarks,en,tool-vendor,conductor;industrials;benchmarks,Conductor,2026,2026-05-08,,vendor-marketing,no,
https://www.conductor.com/academy/communication-services-aeo-geo-benchmarks/,conductor.com,Communication Services Industry 2026 AEO GEO,en,tool-vendor,conductor;communication;benchmarks,Conductor,2026,2026-05-08,,vendor-marketing,no,
https://www.conductor.com/academy/information-technology-aeo-geo-benchmarks/,conductor.com,IT Industry 2026 AEO GEO Benchmarks,en,tool-vendor,conductor;it;benchmarks,Conductor,2026,2026-05-08,,vendor-marketing,no,
